institution.displayName,institution.state,institution.city,searchData.tuition.rawValue,searchData.enrollment.rawValue,searchData.testAvgs.displayValue.0.value,School Website,searchData.acceptanceRate.rawValue
Abilene Christian University,TX,Abilene,36300,3544,1040-1230,http://www.acu.edu,57
Abraham Baldwin Agricultural College,GA,Tifton,,,920-1110,http://www.abac.edu/,70
Academy of Art University,CA,San Francisco,29190,7051,N/A,http://www.academyart.edu/,100
Acadia University,,"Wolfville, Nova Scotia",,,N/A,//www.acadiau.ca,
Adams State University,CO,Alamosa,,,880-1080,http://www.adams.edu,99
Adelphi University,NY,Garden City,38660,5391,1080-1270,http://www.adelphi.edu,74
Adrian College,MI,Adrian,37809,1817,940-1150,http://www.adrian.edu,65
Adventist University of Health Sciences,FL,Orlando,,,N/A,//www.fhchs.edu/,
Agnes Scott College,GA,Decatur,42690,996,1090-1320,http://www.agnesscott.edu,70
Alabama Agricultural and Mechanical University,AL,Normal,18354,5143,725-980,http://www.aamu.edu/admissions/undergraduateadmissions/pages/default.aspx,90
Alabama State University,AL,Montgomery,19396,3903,860-1030,http://www.alasu.edu,98
Alaska Pacific University,AK,Anchorage,,,N/A,http://www.alaskapacific.edu,86
Albany College of Pharmacy and Health Sciences,NY,Albany,35261,,1110-1270,http://www.acphs.edu/,79
Albany State University,GA,Albany,20352,6001,750-900,https://www.asurams.edu/,89
Albertus Magnus College,CT,New Haven,33260,1116,810-1050,http://www.albertus.edu,86
Albion College,MI,Albion,48090,1533,1010-1240,http://www.albion.edu/,68
Albright College,PA,Reading,25642,1912,1023-1200,https://www.albright.edu/,62
Alcorn State University,MS,Lorman,7320,3173,820-1140,http://www.alcorn.edu,89
Alderson Broaddus University,WV,Philippi,29220,836,920-1100,http://www.ab.edu,43
Alfred University,NY,Alfred,34770,1671,970-1200,http://www.alfred.edu,63
Alice Lloyd College,KY,Pippa Passes,12230,592,910-1050,http://www.alc.edu,8
Allegheny College,PA,Meadville,49260,1771,1120-1340,https://allegheny.edu,64
Allen College,IA,Waterloo,,341,N/A,http://www.allencollege.edu/,
Allen University,SC,Columbia,,,N/A,http://www.allenuniversity.edu,
Alliant International University,CA,San Diego,18510,721,N/A,http://www.alliant.edu,97
Alma College,MI,Alma,41398,1433,1040-1220,http://www.alma.edu,64
Alpena Community College,MI,Alpena,,,N/A,https://www.lakemichigancollege.edu,
Alvernia University,PA,Reading,35100,2196,950-1130,https://www.alvernia.edu/,68
